 \,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,11.229885,11.7819592,11.7819592,11.7866861,12.0857835,right,10,1,1,1.6535953,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
1,2,8,13.4520178,13.9520817,13.9520817,13.9520817,14.2519396,left,-8,1,1,0.9963522,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
2,2,6,14.9685642,15.4689452,15.4689452,15.4689452,15.7686677,left,-6,1,1,0.8479911,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
3,2,4,16.3352722,16.8354219,16.8354219,16.8354219,17.1352501,left,-4,1,1,0.8353567,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
4,1,2,17.701926,18.2023903,18.2023903,18.2023903,18.5020255,left,-2,0,0,0.4952267,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
5,1,3,18.7187439,19.2188864,19.2188864,19.2188864,19.5186632,left,-3,0,0,0.6524146,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
6,1,4,19.9020482,20.402254,20.402254,20.402254,20.702104,left,-4,0,0,0.7314991,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
7,1,5,21.1519061,21.6520869,21.6520869,21.6520869,21.9521063,left,-5,0,0,0.828912,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
8,1,6,22.5018675,23.0022665,23.0022665,23.0022665,23.3020737,right,6,0,0,0.857602,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
9,1,7,23.8853072,24.3854559,24.3854559,24.3854559,24.6855436,right,7,1,1,0.6562089,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
10,1,7,25.0688008,25.5690452,25.5690452,25.5690452,25.8687718,right,7,1,1,0.5860911,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
11,0,7,26.1854171,26.6855314,26.6855314,26.6855314,26.985509,right,7,1,1,0.5934104,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
12,0,7,27.3021061,27.8024199,27.8024199,27.8024199,28.1028945,right,7,1,1,0.614839,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
13,0,7,28.435621,28.935491,28.935491,28.935491,29.2355724,left,-7,1,1,0.8905533,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
14,0,7,29.8520854,30.3523847,30.3523847,30.3523847,30.6521839,left,-7,1,1,0.6384906,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
15,0,7,31.0187157,31.5192464,31.5192464,31.5192464,31.819015,left,-7,1,1,0.6493508,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
16,0,7,32.1852041,32.6859199,32.6859199,32.6859199,32.985416,left,-7,1,1,0.6271104,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
17,0,7,33.3354316,33.8356177,33.8356177,33.8356177,34.1355324,left,-7,1,1,0.671236,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
18,0,7,34.5354612,35.0356245,35.0356245,35.0356245,35.3355305,right,7,1,1,0.8392725,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
19,0,7,35.9021555,36.4024591,36.4024591,36.4024591,36.7022782,left,-7,1,1,1.6516574,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
20,0,7,38.0855964,38.5856399,38.5856399,38.5856399,38.8855784,left,-7,1,1,0.7383885,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
21,0,7,39.3524056,39.8357313,39.8357313,39.8526392,40.1357568,left,-7,1,1,1.2264973,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
22,0,7,41.0854859,41.5858358,41.5858358,41.5858358,41.8854868,right,7,1,1,0.6526837,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
23,0,7,42.2690039,42.7692909,42.7692909,42.7692909,43.069096,left,-7,1,1,0.9481603,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
24,0,7,43.7359714,44.2359609,44.2359609,44.2359609,44.5356597,left,-7,1,1,0.7726362,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
25,0,7,45.0356901,45.5358494,45.5358494,45.5358494,45.8355744,left,-7,1,1,4.1213378,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
