reward_today,future_reward,delay,key_resp.keys,K,,
2,648,681,l,0.474302496,,
11,762,184,l,0.371047431,,
16,236,139,l,0.098920863,,
45,880,195,l,0.095156695,,
12,972,915,l,0.087431694,,
56,672,126,l,0.087301587,,
17,611,419,l,0.083391829,,
49,893,237,l,0.072677172,,
43,856,279,l,0.067766942,,
6,319,837,l,0.062325767,,
95,979,152,l,0.061218837,,
32,876,492,l,0.053607724,,
27,598,428,l,0.049411561,,
28,407,283,l,0.047829379,,
54,430,158,l,0.044069386,,
23,488,461,l,0.043855513,,
111,733,128,l,0.043778153,,
34,789,529,l,0.041977093,,
23,908,956,l,0.040249227,,
48,598,286,l,0.040064103,,
67,842,298,l,0.038815987,,
21,753,915,l,0.038095238,,
73,784,274,l,0.035546445,,
75,719,274,l,0.0313382,,
43,946,683,l,0.030746706,,
15,315,693,l,0.028860029,,
45,926,784,l,0.024971655,,
100,812,286,l,0.024895105,,
78,667,319,l,0.023671731,,
114,896,317,l,0.021639272,,
43,265,243,l,0.021246052,,
90,593,275,l,0.020323232,,
111,708,270,l,0.01991992,,
74,676,417,l,0.019508717,,
59,462,356,l,0.019186822,,
18,278,768,l,0.01880787,,
56,881,819,l,0.017987964,,
54,660,624,l,0.01798433,,
128,809,301,l,0.017675457,,
58,797,735,l,0.01733521,,
65,832,710,l,0.016619718,,
89,610,359,l,0.016306219,,
87,350,186,l,0.016252626,,
45,579,752,l,0.015780142,,
121,867,398,l,0.015490677,,
65,684,635,l,0.014996972,,
92,786,519,l,0.01453464,,
66,728,691,l,0.014515634,,
67,541,508,l,0.013926431,,
47,593,840,l,0.013829787,,
65,515,519,l,0.013339262,,
61,598,704,l,0.012504657,,
106,605,426,l,0.01105058,,
49,519,874,l,0.010974642,,
34,215,506,l,0.010520809,,
55,324,472,l,0.010362096,,
124,998,683,l,0.010319747,,
124,681,439,l,0.010232199,,
342,862,149,l,0.010204482,,
97,720,648,l,0.009911544,,
110,477,351,l,0.00950531,,
109,819,704,l,0.009252502,,
212,512,159,l,0.008899964,,
57,153,198,l,0.008506114,,
67,357,513,t,0.008437345,,
99,544,539,l,0.008339424,,
105,953,975,l,0.008283272,,
32,196,627,l,0.008173844,,
124,524,397,l,0.008125457,,
67,426,679,l,0.007891324,,
94,629,745,l,0.007639583,,
145,431,289,l,0.006824961,,
122,592,568,l,0.006782498,,
216,596,267,l,0.006588986,,
119,769,835,l,0.006541539,,
117,675,753,l,0.00633364,,
67,431,864,t,0.006288004,,
113,532,594,l,0.006242365,,
133,590,619,l,0.005551034,,
202,758,503,l,0.005472118,,
127,254,184,l,0.005434783,,
115,641,872,t,0.005245313,,
118,421,490,l,0.005240401,,
477,909,194,l,0.004668352,,
101,387,621,l,0.004559876,,
76,284,607,l,0.004508801,,
93,254,386,l,0.00448493,,
78,197,354,l,0.00430972,,
503,934,201,t,0.004262979,,
432,924,275,l,0.004141414,,
96,415,810,l,0.004102366,,
40,124,571,l,0.003677758,,
116,316,529,l,0.00325924,,
234,769,718,l,0.003184296,,
69,185,530,l,0.003171999,,
235,497,358,l,0.003114228,,
403,933,436,l,0.003016368,,
72,268,903,l,0.003014643,,
43,152,842,l,0.003010551,,
44,105,472,l,0.002937211,,
91,342,940,l,0.0029343,,0.002929671
132,371,619,t,0.00292505,,
432,687,215,l,0.002745478,,
234,694,729,l,0.002696587,,
346,827,578,l,0.002405144,,
345,807,572,l,0.002341137,,
98,167,301,l,0.002339142,,
231,713,901,l,0.002315849,,
108,250,587,l,0.002239889,,
123,245,457,l,0.002170394,,
234,643,892,l,0.001959488,,
476,843,401,l,0.001922714,,
435,945,614,l,0.001909469,,
378,919,793,l,0.001804813,,
333,614,492,l,0.00171513,,
457,701,318,l,0.001678984,,
305,653,689,l,0.001655999,,
112,198,467,l,0.001644234,,
89,194,748,l,0.00157724,,
345,839,936,l,0.001529791,,
675,982,308,l,0.001476671,,
421,788,593,l,0.00147004,,
321,504,392,l,0.00145432,,
464,673,310,l,0.001453003,,
432,705,448,l,0.00141059,,
412,804,731,l,0.001301582,,
328,432,246,l,0.001288915,,
452,789,654,l,0.001140023,,
321,572,785,l,0.000996091,,
345,636,894,t,0.000943488,,
589,825,437,l,0.000916886,,
723,949,352,l,0.00088803,,
222,347,657,l,0.000857021,,
456,726,748,l,0.000791585,,
235,329,561,l,0.000713012,,
239,339,621,l,0.000673768,,
457,676,765,t,0.000626421,,
403,603,834,l,0.000595057,,
356,444,492,l,0.000502421,,
674,848,531,l,0.000486177,,
657,735,264,l,0.000449703,,
120,132,246,l,0.000406504,,
603,682,365,l,0.000358936,,
578,711,648,l,0.000355098,,
435,476,426,t,0.000221251,,
321,376,974,t,0.000175913,,
731,787,439,l,0.000174504,,
901,972,539,l,0.000146199,,
782,836,486,l,0.000142086,,
478,498,298,t,0.000140406,,
436,468,579,l,0.000126761,,
678,731,867,l,9.01627E-05,,
234,237,397,t,3.22935E-05,,
869,859,876,l,-1.31364E-05,,
542,529,887,l,-2.70409E-05,,
467,462,369,t,-2.90153E-05,,
893,852,802,t,-5.72477E-05,,
343,339,185,t,-6.30368E-05,,
346,331,571,t,-7.5924E-05,,
789,727,561,l,-0.000140072,,
223,194,724,l,-0.00017962,,
654,611,329,t,-0.000199846,,
402,358,469,l,-0.000233375,,
312,256,682,l,-0.000263178,,
453,387,527,t,-0.000276462,,
770,565,827,t,-0.000321927,,
503,408,572,t,-0.000330187,,
834,615,701,t,-0.000374593,,
846,542,872,t,-0.000412085,,
242,151,846,l,-0.000444484,,
312,186,896,l,-0.000450721,,
564,346,796,t,-0.000485584,,
398,296,515,l,-0.000497634,,
874,541,674,l,-0.000565292,,
423,263,652,l,-0.000580139,,
312,158,785,l,-0.000628777,,
935,370,948,t,-0.000637424,,
986,554,679,l,-0.000645263,,
890,594,513,l,-0.000648312,,
635,257,847,t,-0.000702805,,
498,199,829,t,-0.000724248,,
705,345,702,t,-0.000727405,,
479,254,637,l,-0.000737408,,
874,410,684,l,-0.000776159,,
467,179,760,l,-0.00081145,,
878,229,904,t,-0.000817677,,
342,187,548,t,-0.000827037,,
984,584,460,l,-0.000883704,,
6743,753,927,t,-0.000958283,,
984,293,680,t,-0.0010327,,
654,281,542,l,-0.001052281,,
890,145,781,t,-0.001071804,,
744,320,530,t,-0.001075269,,
789,491,327,t,-0.001155025,,
